index,Release,Category,AN Type,Initial Published Date,Latest Published Date,Earliest Effective Date,AN Reference Number,Announcement Title,Announcement Short Description,"Announcement Applies To
(applies to who)","Applicable Geography
(applies to where)",Mandate Flag,Testing Required,Action Indicators,Systems Impacted,"Entitled Viewers

Audiences and Geographies who may view in TRC",G_values,Links
711,--,Interchange and Service Fees,Bulletin announcement,2023-06-06 00:00:00,2023-06-06 00:00:00,"2023-06-14, 2023-06-15",AN 7826,AN 7826 Introducing Intracountry Interchange Rates for the Mastercard Prepaid Benefits Product to operate in the new Mastercard Benefits Payment Scheme in Brazil,Mastercard is introducing interchange rates to allow the Prepaid Benefits Product (MLB) to operate in the new Mastercard Benefits Payment Scheme in Brazil.,"Acquirer, Issuer, Processor",Brazil,Yes,No,Network mandate,"Clearing, Settlement","audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7826,https://techdocs.mastercard.com/bundle/m_an7826_en-us
712,--,Interchange and Service Fees,Bulletin announcement,2023-06-06 00:00:00,2023-06-06 00:00:00,"2023-06-14, 2023-06-15",AN 7826,AN 7826 Introducing Intracountry Interchange Rates for the Mastercard Prepaid Benefits Product to operate in the new Mastercard Benefits Payment Scheme in Brazil,Mastercard is introducing interchange rates to allow the Prepaid Benefits Product (MLB) to operate in the new Mastercard Benefits Payment Scheme in Brazil.,"Acquirer, Issuer, Processor",Brazil,Yes,No,Network mandate,"Clearing, Settlement","audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7826,https://techdocs.mastercard.com/bundle/m_an7826_en-us
721,--,Interchange and Service Fees,Bulletin announcement,2023-05-09 00:00:00,2023-05-09 00:00:00,"2023-09-30, 2023-10-01",AN 7752,AN 7752 Introducing Inter-customer Service Fees for Mastercard MoneySend and Funding Transactions in the Dominican Republic,Mastercard is introducing inter-cusomter service fees to support the Mastercard MoneySend and Funding Transactions Program in the Dominican Republic.,"Acquirer, Issuer, Processor",Dominican Republic,Yes,No,Network mandate,"Clearing, Settlement, Single Message System","audience_internal, audience_principal_acquirer, audience_principal_issuer, audience_processor",AN 7752,https://techdocs.mastercard.com/bundle/m_an7752_en-us
722,--,Interchange and Service Fees,Bulletin announcement,2023-05-09 00:00:00,2023-05-09 00:00:00,"2023-08-31, 2023-09-01",AN 7686,AN 7686 Introducing Inter-customer Service Fees for Mastercard MoneySend and Funding Transactions in Venezuela,Mastercard is introducing inter-customer service fees to support the Mastercard MoneySend and Funding Transactions Program in Venezuela.,"Acquirer, Issuer, Processor",Venezuela,Yes,No,Network mandate,"Clearing, Settlement, Single Message System","audience_internal, audience_processor, audience_principal_acquirer, audience_principal_issuer",AN 7686,https://techdocs.mastercard.com/bundle/m_an7686_en-us
723,--,Interchange and Service Fees,Bulletin announcement,2023-05-09 00:00:00,2023-05-09 00:00:00,"2023-09-30, 2023-10-01",AN 7688,AN 7688 Introducing Inter-customer Service Fees for Mastercard MoneySend and Funding Transactions in Colombia,Mastercard is introducing inter-customer service fees to support the Mastercard MoneySend and Funding Transactions Program in Colombia.,"Acquirer, Issuer, Processor",Colombia,Yes,No,Network mandate,"Clearing, Settlement, Single Message System","audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7688,https://techdocs.mastercard.com/bundle/m_an7688_en-us
726,--,Interchange and Service Fees,Bulletin announcement,2023-05-09 00:00:00,2023-05-09 00:00:00,"2023-08-31, 2023-09-01",AN 7687,AN 7687 Introducing Inter-customer Service Fees for Mastercard MoneySend and Funding Transactions in Ecuador,Mastercard is introducing inter-customer service fees to support the Mastercard MoneySend and Funding Transactions Program in Ecuador.,"Acquirer, Issuer, Processor",Ecuador,Yes,No,Network mandate,"Clearing, Settlement, Single Message System","audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7687,https://techdocs.mastercard.com/bundle/m_an7687_en-us
727,--,Interchange,Bulletin announcement,2023-05-09 00:00:00,2023-05-09 00:00:00,"2023-10-13, 2023-10-14",AN 7771,AN 7771 Introducing New IRD for Gaming & Gambling for Face-To-Face Payment Transactions in Select Countries in Europe,"Mastercard is introducing a new interchange rate designator (IRD) for Gaming & Gambling for Face-to-Face (F2F) payment transactions in European Economic Area (EEA) countries, and United Kingdom, San Marino, Switzerland, Bosnia, Montenegro and Serbia.","Acquirer, Issuer, Processor",Europe,No,No,"Attention warranted (brand-related), Attention warranted (network-related), Attention warranted (program/service-related)",Clearing,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7771,https://techdocs.mastercard.com/bundle/m_an7771_en-us
728,--,Interchange,Bulletin announcement,2023-05-09 00:00:00,2023-05-09 00:00:00,"2023-10-13, 2023-10-14",AN 7771,AN 7771 Introducing New IRD for Gaming & Gambling for Face-To-Face Payment Transactions in Select Countries in Europe,"Mastercard is introducing a new interchange rate designator (IRD) for Gaming & Gambling for Face-to-Face (F2F) payment transactions in European Economic Area (EEA) countries, and United Kingdom, San Marino, Switzerland, Bosnia, Montenegro and Serbia.","Acquirer, Issuer, Processor",Europe,No,No,"Attention warranted (brand-related), Attention warranted (network-related), Attention warranted (program/service-related)",Clearing,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7771,https://techdocs.mastercard.com/bundle/m_an7771_en-us
729,--,Interchange,Bulletin announcement,2023-05-09 00:00:00,2023-05-30 00:00:00,"2023-10-13, 2023-10-14",AN 7771,AN 7771 Introducing New IRD for Gaming and Gambling for Face-to-Face Payment Transactions in Select Countries in Europe,"Mastercard is introducing a new interchange rate designator (IRD) for gaming and gambling for face-to-face payment transactions in European Economic Area (EEA) countries, and United Kingdom, San Marino, Switzerland, Bosnia, Montenegro, and Serbia.","Acquirer, Issuer, Processor",Europe,No,No,"Attention warranted (brand-related), Attention warranted (network-related), Attention warranted (program/service-related)",Clearing,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7771,https://techdocs.mastercard.com/bundle/m_an7771_en-us
730,--,Interchange,Bulletin announcement,2023-05-09 00:00:00,2023-05-30 00:00:00,"2023-10-13, 2023-10-14",AN 7771,AN 7771 Introducing New IRD for Gaming and Gambling for Face-to-Face Payment Transactions in Select Countries in Europe,"Mastercard is introducing a new interchange rate designator (IRD) for gaming and gambling for face-to-face payment transactions in European Economic Area (EEA) countries, and United Kingdom, San Marino, Switzerland, Bosnia, Montenegro, and Serbia.","Acquirer, Issuer, Processor",Europe,No,No,"Attention warranted (brand-related), Attention warranted (network-related), Attention warranted (program/service-related)",Clearing,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7771,https://techdocs.mastercard.com/bundle/m_an7771_en-us
732,--,Interchange and Service Fees,Bulletin announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2023-08-31, 2023-09-01",AN 7694,AN 7694 Modifying Inter-customer Service Fees for Mastercard MoneySend and Funding Transactions in Peru,Mastercard is modifying inter-customer service fees to support the Mastercard MoneySend and Funding Transactions Program in Peru.,"Acquirer, Issuer, Processor",Peru,Yes,No,Network mandate,"Clearing, Settlement, Single Message System","audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7694,https://techdocs.mastercard.com/bundle/m_an7694_en-us
733,--,Interchange and Service Fees,Bulletin announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2023-06-30, 2023-07-01",AN 7628,AN 7628 Revising Domestic Interchange Rates in Ukraine,"Mastercard is revising consumer domestic point-of-sale (POS), e-commerce, and MoneySend Funding Transactions interchange rates in Ukraine.","Acquirer, Issuer, Processor",Ukraine,No,No,"Attention warranted (network-related), Financial impact",Clearing,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7628,https://techdocs.mastercard.com/bundle/m_an7628_en-us
737,--,Pricing/Fees,Bulletin Announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2023-07-01, 2023-07-03",AN 7825,AN 7825 Revised Acquiring Pricing for Identity Check for Select Countries in Sub-Saharan Africa,Mastercard is revising the rates for Identity Check to acquirers for select countries in Sub-Saharan Africa.,Acquirer,Select countries in Sub-Saharan Africa,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_acquirer",AN 7825,https://techdocs.mastercard.com/bundle/m_an7825_en-us
738,--,Pricing/Fees,Bulletin Announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2023-07-01, 2023-07-03",AN 7824,AN 7824 Revised Acquiring Pricing for Identity Check for Select Countries in the Middle East and North Africa,Mastercard is revising the rates for Identity Check to acquirers for select countries in the Middle East and North Africa.,Acquirer,Select countries in the Middle East and North Africa,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_acquirer",AN 7824,https://techdocs.mastercard.com/bundle/m_an7824_en-us
739,--,Pricing/Fees,Bulletin Announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2023-07-01, 2023-07-03",AN 7823,AN 7823 Revised Issuing Pricing for Identity Check for Select Countries in the Middle East and North Africa,Mastercard is revising the rates for Identity Check to issuers for select countries in the Middle East and North Africa.,Issuer,Select countries in the Middle East and North Africa,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7823,https://techdocs.mastercard.com/bundle/m_an7823_en-us
740,--,Pricing/Fees,Bulletin Announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2023-07-01, 2023-07-03",AN 7822,AN 7822 Revised Issuing Pricing for Identity Check in Qatar,Mastercard is revising the rates for Identity Check to issuers in Qatar.,Issuer,Qatar,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7822,https://techdocs.mastercard.com/bundle/m_an7822_en-us
741,--,Pricing/Fees,Bulletin Announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2023-07-01, 2023-07-03",AN 7821,AN 7821 Revised Issuing Pricing for Identity Check in Nigeria,Mastercard is revising the rates for Identity Check to issuers in Nigeria.,Issuer,Nigeria,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7821,https://techdocs.mastercard.com/bundle/m_an7821_en-us
742,--,Pricing/Fees,Bulletin Announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2023-07-01, 2023-07-03",AN 7820,AN 7820 Revised Issuing Pricing for Identity Check for Select Countries in East and West Africa,Mastercard is revising the rates for Identity Check to issuers for select countries in East and West Africa.,Issuer,Select countries in East and West Africa,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7820,https://techdocs.mastercard.com/bundle/m_an7820_en-us
743,--,Pricing/Fees,Bulletin Announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2023-07-01, 2023-07-03",AN 7819,AN 7819 Revised Issuing Pricing for Identity Check for Select Countries in Southern Africa,Mastercard is revising the rates for Identity Check to issuers for select countries in Southern Africa.,Issuer,Select countries in Southern Africa,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7819,https://techdocs.mastercard.com/bundle/m_an7819_en-us
747,--,Pricing/Fees,Bulletin Announcement,2023-05-16 00:00:00,2023-05-16 00:00:00,"2024-01-01, 2024-01-28",AN 7678,AN 7678 Revised Program Management Fee Benefits and Insurance for Select Countries in the Europe Region,Mastercard will revise the monthly Program Management Fee to all issuers that are subscribed to Benefits and Insurance (B&I) programs managed by Mastercard Loyalty Solutions.,Issuer,Select countries in the Europe region,No,No,"Attention warranted (Program/service-related), Financial impact",Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7678,https://techdocs.mastercard.com/bundle/m_an7678_en-us
752,--,Pricing/Fees,Bulletin announcement,2023-05-23 00:00:00,2023-05-23 00:00:00,NaN,AN 7849,AN 7849 Introducing M/Chip Deployment Performance Program for Brazil,Mastercard is introducing a new Transaction Processing Excellence (TPE) program to monitor M/Chip deployment performance.,"Acquirer, Processor",Brazil,No,No,"Attention warranted (program/service-related), Financial impact","Authorization, Mastercard Consolidated Billing System, Single Message System","audience_internal, audience_principal_acquirer, audience_processor",AN 7849,https://techdocs.mastercard.com/bundle/m_an7849_en-us
753,--,Pricing/Fees,Bulletin announcement,2023-05-23 00:00:00,2023-05-23 00:00:00,"2023-12-01, 2024-01-07",AN 7848,AN 7848 Introducing M/Chip Deployment Performance Program for Mexico,Mastercard is introducing a new Transaction Processing Excellence (TPE) program to monitor M/Chip deployment performance.,"Acquirer, Processor",Mexico,No,No,"Attention warranted (program/service-related), Financial impact","Authorization, Mastercard Consolidated Billing System, Single Message System","audience_internal, audience_principal_acquirer, audience_processor",AN 7848,https://techdocs.mastercard.com/bundle/m_an7848_en-us
754,--,Pricing/Fees,Bulletin announcement,2023-05-23 00:00:00,2023-05-23 00:00:00,"2023-12-01, 2024-01-07",AN 7835,AN 7835 Introducing M/Chip Deployment Performance Program for the Latin America and the Caribbean Region (excluding Brazil and Mexico),Mastercard is introducing a new Transaction Processing Excellence (TPE) program to monitor M/Chip deployment performance.,"Acquirer, Processor",Latin America and the Caribbean (except Brazil and Mexico),No,No,"Attention warranted (program/service-related), Financial impact","Authorization, Mastercard Consolidated Billing System, Single Message System","audience_internal, audience_principal_acquirer, audience_processor",AN 7835,https://techdocs.mastercard.com/bundle/m_an7835_en-us
755,--,Pricing/Fees,Bulletin announcement,2023-05-23 00:00:00,2023-05-23 00:00:00,"2023-12-01, 2024-01-07",AN 7834,AN 7834 Introducing M/Chip Deployment Performance Program for Select Countries and Territories in the Asia/Pacific Region,Mastercard is introducing a new Transaction Processing Excellence (TPE) program to monitor M/Chip deployment performance.,"Acquirer, Processor",Select countries in the Asia/Pacific region,No,No,"Attention warranted (program/service-related), Financial impact","Authorization, Mastercard Consolidated Billing System, Single Message System","audience_internal, audience_principal_acquirer, audience_processor",AN 7834,https://techdocs.mastercard.com/bundle/m_an7834_en-us
757,--,Pricing/Fees,Bulletin announcement,2023-05-23 00:00:00,2023-05-23 00:00:00,"2023-12-01, 2024-01-07",AN 7833,AN 7833 Introducing M/Chip Deployment Performance Program for Indonesia,Mastercard is introducing a new Transaction Processing Excellence (TPE) program to monitor M/Chip deployment performance.,"Acquirer, Processor",Indonesia,No,No,"Attention warranted (program/service-related), Financial impact","Authorization, Mastercard Consolidated Billing System, Single Message System","audience_internal, audience_principal_acquirer, audience_processor",AN 7833,https://techdocs.mastercard.com/bundle/m_an7833_en-us
758,--,Pricing/Fees,Bulletin announcement,2023-05-23 00:00:00,2023-05-23 00:00:00,"2023-10-01, 2023-11-12",AN 7832,AN 7832 Introducing M/Chip Deployment Performance Program for the Middle East/Africa Region and Select Countries in the Europe Region,Mastercard is introducing a new Transaction Processing Excellence (TPE) program to monitor M/Chip deployment performance.,"Acquirer, Processor",Middle East/Africa and select countries in the Europe region,No,No,"Attention warranted (program/service-related), Financial impact","Authorization, Mastercard Consolidated Billing System, Single Message System","audience_internal, audience_principal_acquirer, audience_processor",AN 7832,https://techdocs.mastercard.com/bundle/mc_an7832_en-us
759,--,Pricing/Fees,Bulletin announcement,2023-05-23 00:00:00,2023-05-23 00:00:00,"2024-02-01, 2024-03-10",AN 7831,AN 7831 Introducing M/Chip Deployment Performance Program for Select Countries in the Europe Region,Mastercard is introducing a new Transaction Processing Excellence (TPE) program to monitor M/Chip deployment performance.,"Acquirer, Processor",Select countries in the Europe region,No,No,"Attention warranted (program/service-related), Financial impact","Authorization, Mastercard Consolidated Billing System, Single Message System","audience_internal, audience_principal_acquirer, audience_processor",AN 7831,https://techdocs.mastercard.com/bundle/mc_an7831_en-us
762,--,Pricing/Fees,Bulletin Announcement,2022-01-25 00:00:00,2023-05-23 00:00:00,2022-10-03 00:00:00,AN 5988,AN 5988 Introducing Pricing for Advanced Digital Transaction Services: Dynamic Linking Validation in France and Italy,Mastercard announced pricing for Advanced Digital Transaction Services (ADTS): Dynamic Linking Validation for issuers and acquirers in France and Italy.,"Acquirer, Issuer, Processor","France and overseas territories, Italy",No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 5988,https://techdocs.mastercard.com/bundle/m_AN5988
763,--,Pricing/Fees,Bulletin Announcement,2022-01-25 00:00:00,2023-05-23 00:00:00,2022-07-04 00:00:00,AN 5987,AN 5987 Introducing Pricing for Advanced Digital Transaction Services: Dynamic Linking Validation in Select Countries in Eastern Europe,Mastercard announced pricing for Advanced Digital Transaction Services (ADTS): Dynamic Linking Validation for issuers and acquirers in select countries in Eastern Europe.,"Acquirer, Issuer, Processor",Select countries in the Europe region,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 5987,https://techdocs.mastercard.com/bundle/m_AN5987
764,--,Pricing/Fees,Bulletin Announcement,2022-07-12 00:00:00,2023-05-23 00:00:00,2022-10-01 00:00:00,AN 6473,AN 6473 Mastercard and Maestro Domestic Volume Assessments in Bolivia,Mastercard announced a new enhanced pricing structure for Issuer and Acquirer Domestic Volume Assessments in Bolivia.,"Acquirer, Issuer, Processor",Bolivia,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 6473,https://techdocs.mastercard.com/bundle/m_AN6473
773,--,Interchange and Service Fees,Bulletin announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-05-29, 2023-05-30",AN 7853,AN 7853 Revising Intra-country Interchange Rates in Jordan,Mastercard is revising intra-country interchange rates to comply with Central Bank of Jordan mandates in Jordan.,"Acquirer, Issuer, Processor",Jordan,No,No,"Attention warranted (brand-related), Attention warranted (network-related)",NaN,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7853,https://techdocs.mastercard.com/bundle/m_an7853_en-us
774,--,Interchange and Service Fees,Bulletin announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-05-29, 2023-05-30",AN 7853,AN 7853 Revising Intra-country Interchange Rates in Jordan,Mastercard is revising intra-country interchange rates to comply with Central Bank of Jordan mandates in Jordan.,"Acquirer, Issuer, Processor",Jordan,No,No,"Attention warranted (brand-related), Attention warranted (network-related)",NaN,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7853,https://techdocs.mastercard.com/bundle/m_an7853_en-us
775,--,Interchange and Service Fees,Bulletin announcement,2023-05-30 00:00:00,2023-06-06 00:00:00,"2023-05-29, 2023-05-30",AN 7853,AN 7853 Revising Intra-country Interchange Rates in Jordan,Mastercard is revising intra-country interchange rates to comply with Central Bank of Jordan mandates in Jordan.,"Acquirer, Issuer, Processor",Jordan,No,No,"Attention warranted (brand-related), Attention warranted (network-related)",NaN,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7853,https://techdocs.mastercard.com/bundle/m_an7853_en-us
776,--,Interchange and Service Fees,Bulletin announcement,2023-05-30 00:00:00,2023-06-06 00:00:00,"2023-05-29, 2023-05-30",AN 7853,AN 7853 Revising Intra-country Interchange Rates in Jordan,Mastercard is revising intra-country interchange rates to comply with Central Bank of Jordan mandates in Jordan.,"Acquirer, Issuer, Processor",Jordan,No,No,"Attention warranted (brand-related), Attention warranted (network-related)",NaN,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7853,https://techdocs.mastercard.com/bundle/m_an7853_en-us
777,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31",AN 7808,"AN 7808 Introducing New Network Distribution Reports and Services and Associated Pricing for New Zealand, American Samoa, Cook Islands, Maldives, and Sri Lanka","Mastercard is providing its customers in New Zealand, American Samoa, Cook Islands, Maldives, and Sri Lanka certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Issuer, Processor","New Zealand, American Samoa, Cook Islands, Maldives, Sri Lanka",No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_processor",AN 7808,https://techdocs.mastercard.com/bundle/m_an7808_en-us
778,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31, 2023-12-05, 2023-12-31",AN 7804,AN 7804 Introducing New Network Distribution Reports and Services and Associated Pricing for Singapore,"Mastercard is providing its customers in New Zealand, American Samoa, Cook Islands, Maldives, and Sri Lanka certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor",Singapore,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7804,https://techdocs.mastercard.com/bundle/m_an7804_en-us
779,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31",AN 7797,AN 7797 Introducing New Network Distribution Reports and Services and Associated Pricing for Bangladesh and Brunei,"Mastercard is providing its customers in Bangladesh and Brunei certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor","Bangladesh, Brunei",No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7797,https://techdocs.mastercard.com/bundle/m_an7797_en-us
